Time,Distance,Speed,Throttle,Brake,RPM,nGear,X,Y,Z
0.0,0.0006031853158307327,278.0187488,100.0,False,11382.7437024,7,-7666.384012381079,-6535.517293792818,501.7903272823899
0.113,8.81367241447536,280.1374976,100.0,False,11466.7874048,7,-7671.0,-6461.0,502.0
0.159,12.411666666666667,281.0,100.0,False,11501.0,7,-7673.110477701078,-6427.742647481403,502.1505969996358
0.373,29.227292263115928,282.78333226666666,100.0,False,11630.291589333334,7,-7681.0,-6258.0,503.0
0.399,31.278333333333336,283.0,100.0,False,11646.0,7,-7680.980946617687,-6237.179920886927,503.0481710510355
0.599,47.111666666666665,285.0,100.0,False,11752.0,7,-7673.697085280115,-6078.058440441395,503.0096830493607
0.652,51.324543809551336,285.5273627151802,100.0,False,11761.228847515653,7,-7671.0,-6036.0,503.0
0.8,63.13583333333334,287.0,100.0,False,11787.0,7,-7662.959667484313,-5918.507481885563,503.0362893154524
0.832,65.70165165680943,287.6,100.0,False,11801.8,7,-7661.0,-5893.0,503.0
0.96,76.02472222222222,290.0,100.0,False,11861.0,7,-7652.131651941338,-5790.513703564766,502.71657410100613
1.012,80.25912498988178,289.5125,92.0375,False,11768.2125,7,-7648.0,-5749.0,503.0
1.173,93.42359831548387,288.0031256,67.38438479999999,False,11480.9282392,7,-7633.0,-5622.0,506.0
1.28,101.53583333333333,287.0,51.0,True,11290.0,7,-7620.775066758764,-5539.909680945244,508.69559022831396
1.453,113.09731225997332,254.562512,23.4281352,True,10608.812752,7,-7599.0,-5416.0,514.0
1.6,121.7136111111111,227.0,0.0,True,10030.0,7,-7580.223673193881,-5321.5299904744315,519.2354108913494
1.632,123.47405655672786,221.66666666666666,0.0,True,9942.8,7,-7575.0,-5298.0,520.0
1.84,134.18027777777777,187.0,0.0,True,9376.0,6,-7532.893188868723,-5124.5618850282735,520.9702088868665
1.852,134.7855709659825,186.34,0.0,True,9374.68,6,-7531.0,-5117.0,521.0
2.04,143.95805555555555,176.0,0.0,True,9354.0,6,-7515.250774813305,-5056.1221954961065,522.3674178298136
2.172,149.43285234234148,156.86,0.0,True,9718.32,6,-7507.0,-5028.0,524.0
2.24,152.12472222222223,147.0,0.0,True,9906.0,6,-7500.480709564914,-5005.8275966764195,524.9735613217675
2.4,158.43583333333333,142.0,0.0,True,9940.0,5,-7480.90492168215,-4940.422564964209,527.5010721577231
2.432,159.65657298493352,140.8,0.0,True,9845.5,5,-7477.0,-4928.0,528.0
2.632,166.90944267916367,133.3,0.0,True,9254.875,5,-7453.0,-4858.0,531.0
2.72,169.9913888888889,130.0,0.0,True,8995.0,3,-7441.438918476935,-4828.597665366717,532.260223666587
2.932,177.25224153662,124.7,3.3125,True,8768.425,3,-7412.0,-4763.0,535.0
3.04,180.83583333333334,122.0,5.0,False,8653.0,3,-7397.7676330929235,-4735.784633669769,536.0992425488746
3.153,184.48962620175286,119.1750016,13.4749952,False,8787.658257066667,3,-7373.0,-4707.0,537.0
3.28,188.56916666666666,116.0,23.0,False,8939.0,3,-7321.818823488031,-4669.338779544838,537.7505053618287
3.312,189.60925991487557,116.4,25.8,False,8942.0,3,-7308.0,-4661.0,538.0
3.44,193.8136111111111,118.0,37.0,False,8954.0,3,-7255.12512226073,-4636.464225820187,539.4550229438526
3.693,202.29885819370674,120.7107136,55.071424,False,9301.874912,3,-7170.0,-4617.0,543.0
3.72,203.22472222222223,121.0,57.0,False,9339.0,3,-7163.393430722643,-4615.7223516463255,543.2552996052614
3.96,211.75805555555556,128.0,67.0,False,9971.0,3,-7118.181416783999,-4608.558196041126,544.9179008387678
4.032,214.51888966992993,131.6,72.94,False,10184.3,3,-7098.0,-4606.0,546.0
4.36,228.20250000000001,148.0,100.0,False,11156.0,3,-6940.443586340236,-4588.648473163063,556.4510914180803
4.372,228.7236351404565,148.42,100.0,False,11163.83,3,-6933.0,-4588.0,557.0
4.573,237.628807728502,155.45499776,100.0,False,11294.98245824,3,-6804.0,-4578.0,567.0
4.76,246.2025,162.0,100.0,False,11417.0,3,-6729.167017486696,-4571.058257459994,573.4914280312532
4.96,255.7025,171.0,100.0,False,11013.0,4,-6669.798643128312,-4564.478149768987,578.6385793695416
4.973,256.33725940516956,171.7312464,100.0,False,11047.7748288,4,-6665.0,-4564.0,579.0
5.12,263.7025,180.0,100.0,False,11441.0,4,-6600.592026123113,-4557.498120676291,583.5594944823412
5.172,266.41253820506734,182.4375,100.0,False,11335.05,4,-6568.0,-4553.0,586.0
5.393,278.4450740336103,192.796872,100.0,False,10884.7626304,4,-6383.0,-4521.0,601.0
5.44,281.03583333333336,195.0,100.0,False,10789.0,4,-6351.856683080805,-4515.11727649198,603.7167258526943
5.72,296.5913888888889,200.0,100.0,False,10955.0,5,-6247.169003878171,-4491.740461648747,614.3497417831643
5.793,300.7377233102094,202.7374976,100.0,False,11091.4186304,5,-6220.0,-4485.0,617.0
5.88,305.74694444444447,206.0,100.0,False,11254.0,5,-6182.755757395409,-4475.761452338292,620.4066421265668
6.113,319.5692735145677,212.5531232,100.0,False,11540.1530464,5,-6062.0,-4446.0,631.0
6.2,324.8580555555556,215.0,100.0,False,11647.0,5,-6012.277891135796,-4433.9278742982215,635.5939359821623
6.373,335.55799608110806,219.81893886236188,100.0,False,11180.044824237135,5,-5910.0,-4409.0,645.0
6.553,346.91380295235496,224.83286554511588,100.0,False,10694.19532867827,5,-5803.0,-4382.0,654.0
6.559,347.2955555555556,225.0,100.0,False,10678.0,5,-5799.128437508214,-4381.016221342715,654.3340301085598
6.833,364.94466326417336,229.98181585454546,100.0,False,10874.781726254545,5,-5607.0,-4332.0,672.0
6.999,375.77333333333337,233.0,100.0,False,10994.0,6,-5506.133640332894,-4305.970088372463,682.2704676399086
7.199,388.94000000000005,237.0,100.0,False,11224.0,6,-5395.514530081462,-4277.7431033437515,693.3567245216652
7.252,392.481181330394,238.02769977222377,100.0,False,11272.008260788169,6,-5364.0,-4270.0,696.0
7.312,396.52087907333924,239.19113488153084,100.0,False,11326.35730089437,6,-5326.0,-4261.0,699.0
7.56,413.4077777777778,244.0,100.0,False,11551.0,6,-5091.524854678368,-4219.406083725974,720.0062574440294
7.612,416.9486215068867,244.37142857142857,100.0,False,11536.142857142857,6,-5048.0,-4213.0,724.0
7.84,432.54111111111115,246.0,100.0,False,11471.0,6,-4928.068753490347,-4201.347984339091,734.9023035208825
8.032,445.9725491165121,249.73333333333332,100.0,False,10855.0,6,-4841.0,-4195.0,743.0
8.2,457.8411111111111,253.0,100.0,False,10316.0,7,-4728.175660539732,-4180.829005774307,753.8341816377211
8.273,462.9982770060379,253.6083328,100.0,False,10358.2791296,7,-4677.0,-4172.0,759.0
8.372,470.0006859175698,254.43333333333334,100.0,False,10415.616666666667,7,-4610.0,-4157.0,766.0
8.44,474.8411111111111,255.0,100.0,False,10455.0,7,-4564.256840758271,-4143.543367132218,770.5229475401451
8.652,490.11702948986965,257.8909090909091,100.0,False,10601.472727272727,7,-4425.0,-4088.0,783.0
8.813,501.84849389560634,260.0863627636364,100.0,False,10712.709046690909,7,-4319.0,-4036.0,792.0
8.88,506.7411111111112,261.0,100.0,False,10759.0,7,-4258.380401412991,-4005.785669722529,797.0577922582056
9.073,520.8698548294219,262.8093744,100.0,False,10801.8218608,7,-4068.0,-3911.0,813.0
9.2,530.2077777777778,264.0,100.0,False,10830.0,7,-4004.759627570249,-3879.0964774182107,818.7072014887726
9.4,544.9855555555556,266.0,100.0,False,10935.0,7,-3937.9280833702574,-3854.3994264522153,824.6108002162596
9.452,548.8356579525898,266.1857142857143,100.0,False,10937.971428571429,7,-3892.0,-3840.0,828.0
9.613,560.77333803921,266.7607140571429,100.0,False,10947.171424914286,7,-3694.0,-3780.0,842.0
9.68,565.7522222222223,267.0,100.0,False,10951.0,7,-3631.8641730482063,-3762.6050171158595,846.1906924980469
