Time,Distance,Speed,Throttle,Brake,RPM,nGear,X,Y,Z
0.0,0.3176116077100237,282.191162417132,100.0,False,11307.167149566472,7,1791.7500907233907,157.97719772990624,249.25496345515262
0.917,74.4686111111111,291.0,100.0,False,11619.0,7,2398.069572223299,-224.13004765553967,250.99849781560675
0.933,75.76593548271947,291.08,100.0,False,11622.52,7,2409.0,-231.0,251.0
1.117,90.69083333333332,292.0,100.0,False,11663.0,7,2535.33270268804,-310.4287807322181,250.98215817594453
1.153,93.61081831751139,292.0,100.0,False,11658.32,7,2560.0,-326.0,251.0
1.313,106.58853192217828,292.0,100.0,False,11637.52,7,2669.0,-395.0,251.0
1.317,106.91305555555553,292.0,100.0,False,11637.0,7,2671.709754800261,-396.709516496627,250.9855719374901
1.473,119.5668206394404,292.0,100.0,False,10954.5,7,2779.0,-464.0,250.0
1.477,119.89083333333332,292.0,100.0,False,10937.0,7,2781.9062053200646,-465.81280490281625,249.98133910207304
1.717,139.29083333333332,291.0,100.0,False,10076.0,7,2971.033657936186,-582.9856456332554,249.9983179390698
1.813,147.05019472511867,291.0,100.0,False,10216.0,7,3041.0,-626.0,250.0
1.957,158.69083333333333,291.0,100.0,False,10426.0,8,3130.9112564938814,-680.8953768185706,249.58808004339485
2.093,169.67904858007,291.0,100.0,False,10387.142857142857,8,3207.0,-727.0,249.0
2.237,181.32416666666666,291.0,100.0,False,10346.0,8,3285.979636908841,-774.6156585655801,248.42482650873757
2.412,195.51441281469778,291.6250002285714,100.0,False,10371.000009142857,8,3430.0,-860.0,248.0
2.517,204.03527777777776,292.0,100.0,False,10386.0,8,3570.584499491509,-942.4769654435455,248.0084608660775
2.572,208.49783470262733,292.0,100.0,False,10386.27500032,8,3640.0,-983.0,248.0
2.717,220.2575,292.0,100.0,False,10387.0,8,3765.981132921804,-1055.6318191080516,247.74184277951133
2.957,239.72416666666663,292.0,100.0,False,10411.0,8,3842.853662458818,-1096.0026282213169,246.66040409336486
3.072,249.11899472106666,292.3593752,100.0,False,10371.1093528,8,3897.0,-1124.0,246.0
3.232,262.16031664162034,292.8593752,100.0,False,10315.6093528,8,4012.0,-1184.0,245.0
3.277,265.7686111111111,293.0,100.0,True,10300.0,8,4057.769189186207,-1207.779930859989,244.74135779871867
3.452,279.5139321191546,282.9999963428571,43.1249792,True,9800.624817371428,8,4253.0,-1309.0,244.0
3.557,287.31305555555554,277.0,9.0,True,9501.0,8,4317.608370735941,-1342.6832826512443,243.93367237419733
3.792,303.09900864093066,246.1562416,2.3906232000000003,True,8774.7029272,8,4392.0,-1382.0,245.0
3.877,308.2019444444444,235.0,0.0,True,8512.0,8,4448.825142051038,-1411.676722064855,245.86342435165102
4.072,318.74829142817924,200.8749888,0.0,True,8225.187405866667,8,4601.0,-1491.0,248.0
4.117,321.06861111111107,193.0,0.0,True,8159.0,8,4624.973535947824,-1503.5388611657768,248.2648201450212
4.277,329.06861111111107,180.0,0.0,True,7922.0,8,4671.104469391674,-1527.8872922941355,248.4250198467351
4.437,336.22416666666663,161.0,0.0,True,8199.0,8,4703.060653953854,-1547.961630727683,248.0630489097777
4.492,338.5102074371956,157.2187456,0.0,True,8224.2656544,8,4723.0,-1561.0,248.0
4.672,345.45923552566035,144.8437456,0.0,True,8306.9531544,8,4808.0,-1618.0,248.0
4.757,348.5797222222222,139.0,0.0,True,8346.0,7,4836.722189599641,-1638.9383966420337,248.08481198075674
4.872,352.6826695701112,133.9687472,0.0,True,8659.7345496,7,4866.0,-1663.0,248.0
5.032,358.1808825211753,126.9687472,0.0,True,9096.2345496,7,4907.0,-1701.0,247.0
5.077,359.69083333333333,125.0,0.0,True,9219.0,4,4917.5735342341895,-1711.8178310212102,246.70855908177828
5.192,363.47790607618316,120.37688333607773,0.0,True,8749.175769028898,4,4942.0,-1739.0,246.0
5.276,366.1583333333333,117.0,0.0,True,8406.0,4,4957.397912776993,-1758.090907153553,245.44087113252397
5.492,372.70428296538984,110.82857142857142,0.0,True,8118.257142857143,4,4989.0,-1816.0,244.0
5.556,374.63611111111106,109.0,0.0,True,8033.0,3,4996.852557704185,-1841.100263825911,243.65726115178177
5.732,379.98621866084864,109.0,0.0,True,7647.5599999999995,3,5013.0,-1914.0,243.0
5.756,380.6916666666666,109.0,0.0,True,7595.0,3,5014.185873054752,-1921.2546034698573,242.95456508210037
